n,title,is_pr,state,created,closed,author,comments,labels
812,Error executing command as another user: Not Authorized,False,OPEN,2023-11-22,,ThomasDeLange,0,
813,bug to Release Input ?,False,CLOSED,2023-11-23,2024-12-29,Oh-noodles,2,
814,Logitech MX Master 3S: can't map via logi bolt adapter,False,CLOSED,2023-11-25,2024-09-14,Flashwalker,2,
815,The autoload fails to load from time to time incosistently,False,OPEN,2023-11-29,,Felixoid,2,
816,service doesnt work.,False,OPEN,2023-12-02,,ideoda,1,
818,Fixed autocompletion tests; Group devices using their `uniq` property,True,MERGED,2023-12-03,2023-12-03,sezanzeb,0,
819,Key not getting injected after disconnecting and reconnecting device from USB-C monitor,False,CLOSED,2023-12-08,2024-03-14,thecodygriffin,1,
820,Autloading after laptop lid close not working,False,OPEN,2023-12-12,,samuelborn,4,
821,FN_KEY not recognized,False,OPEN,2023-12-13,,jeniksv,3,
822,"Running on tumbleweed aeon (immutable), inside distrobox with ubuntu 20.04",False,OPEN,2023-12-14,,quesada,0,
823,Injection silently fails after kernel upgrade,False,OPEN,2023-12-15,,emersonrp,4,
825,How to map the tilde key ~,False,CLOSED,2023-12-21,2024-01-02,Crylia,2,
826,Ability to only trigger binding when keys held down in specific order,False,CLOSED,2023-12-22,2024-01-05,waddyhussain,2,
827,Can't map the g9 key Logitech g510,False,OPEN,2023-12-24,,mcfardo907,0,
828,Input occasionally stops,False,OPEN,2023-12-31,,Xuerian,3,
829,Mouse steering solution,False,OPEN,2024-01-01,,grygoriyshutnyara,1,
830,if_single modifier doesn't apply to first other key pressed,False,OPEN,2024-01-03,,HifeFish,0,
831,Toggle Aim,False,CLOSED,2024-01-05,2024-03-03,RickAndTired,6,
833,Errors thrown when attempting to map keys:,False,OPEN,2024-01-14,,simple-coder-x,3,
835,Some capture of mouse buttons are wrong. Basilisk V2,False,OPEN,2024-01-15,,Amdarin,1,
837,can't run input-remapper,False,CLOSED,2024-01-23,2024-01-23,graylion,1,
839,Error messages during installation.,False,OPEN,2024-01-26,,guettli,3,
840,Download is performed unsandboxed as root as file '/.../dist/input-remapper-2.0.1.deb' couldn't be accessed by user '_apt'. - pkgAcquire::Run (13: Permission denied),False,OPEN,2024-01-26,,guettli,2,
841,"Install icon to standard path, fix appstream-builder generation",True,MERGED,2024-01-26,2024-01-27,joebonrichie,1,
842,Left Handed Mouse Buttons are Swapped.,False,OPEN,2024-01-31,,NewtSoup,1,
844,sudo required for input-remapper-control no shown in CLI examples,False,OPEN,2024-02-01,,abrombo,0,
845,Mapping a key to a button on a specific mouse,False,OPEN,2024-02-02,,bbutler3,0,
846,Feature: analog axis with trigger threshold,False,OPEN,2024-02-06,,kopach,6,
847,Using the right password but it does not let me log in,False,CLOSED,2024-02-08,2024-02-10,gybo03,2,
848,AutoLoad does not work,False,CLOSED,2024-02-10,2024-02-24,gybo03,2,
849,multiple devices - same remapping,False,OPEN,2024-02-16,,kniftar,1,
851,Remap middle-click to Ctrl+left-click ... possible ?,False,OPEN,2024-02-23,,hprodh,1,
853,State of Maintenance,False,OPEN,2024-02-26,,sezanzeb,12,
854,An error appears during installation,False,CLOSED,2024-02-29,2024-03-01,drozd2000,2,
856,Failing to map keyboard to an artsey.io pad failing + release timeout greyed out,False,OPEN,2024-03-03,,ctrl-alt-breathe,1,
857,Can’t autoload Logitech USB Receiver rules when I insert USB Receiver,False,OPEN,2024-03-04,,ai,5,
858,Cannot install input-remapper under Debian 12,False,OPEN,2024-03-06,,danielkr123,5,
859,Feature: Macro set to random number in range,False,OPEN,2024-03-10,,shawarden,3,
